year,country,co2,co2_per_capita,co2_per_unit_energy,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
1950,Cape Verde,0.103,0.576,0.0,0.096,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146876000.0,0.0,0.0,0.0
1950,Chile,8.451,1.281,0.0,4.749,0.254,0.0,0.0,3.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35814098040.0,0.0,0.0,0.0
1950,China,78.835,0.142,0.0,77.615,0.587,0.0,0.015,0.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436905185000.0,0.0,0.0,0.0
1950,Colombia,7.498,0.626,0.0,2.594,0.28,0.0,0.0,4.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39782570256.0,0.0,0.0,0.0
1950,Costa Rica,0.286,0.302,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2712786678.0,0.0,0.0,0.0
1950,Croatia,2.87,0.746,0.0,0.976,0.48,0.0,0.065,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Cuba,5.605,0.947,0.0,0.128,0.156,0.0,0.0,5.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15260830000.0,0.0,0.0,0.0
1950,Curacao,5.909,58.986,0.0,0.0,0.0,0.0,0.0,5.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Cyprus,0.267,0.541,0.0,0.004,0.0,0.0,0.0,0.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1425190000.0,0.0,0.0,0.0
1950,Czechia,57.854,6.498,0.0,55.882,0.614,0.0,0.033,1.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Democratic Republic of Congo,1.48,0.121,0.0,0.964,0.087,0.0,0.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12334004658.0,0.0,0.0,0.0
1950,Denmark,21.988,5.151,0.0,16.594,0.432,0.0,0.0,4.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47267157000.0,0.0,0.0,0.0
1950,Djibouti,0.011,0.177,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273261000.0,0.0,0.0,0.0
1950,Dominican Republic,0.348,0.147,0.0,0.0,0.036,0.0,0.0,0.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3851808616.0,0.0,0.0,0.0
1950,EU-27,1277.731,3.891,0.0,1126.587,22.598,0.0,10.107,118.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,EU-28,1778.523,4.693,0.0,1580.513,27.497,0.0,10.107,160.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Ecuador,0.74,0.213,0.0,0.0,0.029,0.0,0.0,0.711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10008766350.0,0.0,0.0,0.0
1950,Egypt,10.233,0.5,0.0,0.509,0.505,0.0,0.0,9.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30757264584.728,0.0,0.0,0.0
1950,El Salvador,0.267,0.122,0.0,0.0,0.0,0.0,0.0,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4607025000.0,0.0,0.0,0.0
1950,Equatorial Guinea,0.011,0.049,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168167000.0,0.0,0.0,0.0
1950,Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Estonia,6.839,6.212,0.0,6.147,0.031,0.0,0.015,0.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Eswatini,0.004,0.013,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167539936.0,0.0,0.0,0.0
1950,Ethiopia,0.088,0.005,0.0,0.021,0.003,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12816445297.44,0.0,0.0,0.0
1950,Europe,2382.639,4.335,0.0,2057.422,32.806,0.0,19.99,272.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Europe (excl. EU-27),1109.416,4.972,0.0,932.667,10.229,0.0,9.954,156.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Europe (excl. EU-28),608.624,3.528,0.0,478.741,5.33,0.0,9.954,114.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,Faeroe Islands,0.04,1.279,0.0,0.033,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
